Currency_name,Currency_code,CUR_USD,USD_CUR,currency_country_name
Afghanistan Afghani,AFN,0.01644,61.0517,AFGHANISTAN
Albanian Lek,ALL,0.007237,143.208,ALBANIA
Algerian Dinar,DZD,0.009789,103.169,ALGERIA
Angolan Kwanza,AOA,0.008944,112.947,ANGOLA
Argentine Peso,ARS,0.1081,9.2657,ARGENTINA
Armenian Dram,AMD,0.001981,505.005,ARMENIA
Aruban Florin,AWG,0.5331,1.8973,ARUBA
Australian Dollar,AUD,0.7253,1.3791,AUSTRALIA
Australian Dollar,AUD,0.7253,1.3791,CHRISTMAS ISLAND
Australian Dollar,AUD,0.7253,1.3791,COCOS (KEELING) ISLANDS
Australian Dollar,AUD,0.7253,1.3791,HEARD ISLAND AND McDONALD ISLANDS
Australian Dollar,AUD,0.7253,1.3791,KIRIBATI
Australian Dollar,AUD,0.7253,1.3791,NAURU
Australian Dollar,AUD,0.7253,1.3791,NORFOLK ISLAND
Australian Dollar,AUD,0.7253,1.3791,TUVALU
Azerbaijan New Manat,AZN,0.905,1.1062,AZERBAIJAN
Bahamian Dollar,BSD,0.958,1.058,BAHAMAS
Bahraini Dinar,BHD,2.5409,0.4011,BAHRAIN
Bangladeshi Taka,BDT,0.01241,84.1862,BANGLADESH
Barbados Dollar,BBD,0.474424,2.10814,BARBADOS
Belarusian Ruble,BYR,6.29E-05,16013.2,BELARUS
Belize Dollar,BZD,0.4858,2.1592,BELIZE
Bermudian Dollar,BMD,0.9488,1.0541,BERMUDA
Bolivian Boliviano,BOB,0.1408,7.5058,"BOLIVIA, PLURINATIONAL STATE OF"
Bosnian Mark,BAM,0.5114,1.9562,BOSNIA AND HERZEGOVINA
Botswana Pula,BWP,0.09489,10.8603,BOTSWANA
Brazilian Real,BRL,0.2932,3.4191,BRAZIL
British Pound,GBP,1.4029,0.713,GUERNSEY
British Pound,GBP,1.4029,0.713,ISLE OF MAN
British Pound,GBP,1.4029,0.713,JERSEY
British Pound,GBP,1.4029,0.713,UNITED KINGDOM
Brunei Dollar,BND,0.6924,1.4946,BRUNEI DARUSSALAM
Bulgarian Lev,BGN,0.5117,1.9551,BULGARIA
Burundi Franc,BIF,0.0006146,1684.06,BURUNDI
Cambodian Riel,KHR,0.0002388,4343.82,CAMBODIA
Canadian Dollar,CAD,0.7423,1.3477,CANADA
Cape Verde Escudo,CVE,0.009069,110.265,CABO VERDE
Cayman Islands Dollar,KYD,1.1553,0.9058,CAYMAN ISLANDS
CFA Franc BCEAO,XOF,0.001524,655.957,BENIN
CFA Franc BCEAO,XOF,0.001524,655.957,BURKINA FASO
CFA Franc BCEAO,XOF,0.001524,655.957,CÔTE D'IVOIRE
CFA Franc BCEAO,XOF,0.001524,655.957,GUINEA-BISSAU
CFA Franc BCEAO,XOF,0.001524,655.957,MALI
CFA Franc BCEAO,XOF,0.001524,655.957,NIGER
CFA Franc BCEAO,XOF,0.001524,655.957,SENEGAL
CFA Franc BCEAO,XOF,0.001524,655.957,TOGO
CFA Franc BEAC,XAF,0.001524,655.957,CAMEROON
CFA Franc BEAC,XAF,0.001524,655.957,CENTRAL AFRICAN REPUBLIC
CFA Franc BEAC,XAF,0.001524,655.957,CHAD
CFA Franc BEAC,XAF,0.001524,655.957,CONGO
CFA Franc BEAC,XAF,0.001524,655.957,EQUATORIAL GUINEA
CFA Franc BEAC,XAF,0.001524,655.957,GABON
CFP Franc,XPF,0.00838,119.332,FRENCH POLYNESIA
CFP Franc,XPF,0.00838,119.332,NEW CALEDONIA
CFP Franc,XPF,0.00838,119.332,WALLIS AND FUTUNA
Chilean Peso,CLP,0.001484,674.679,CHILE
Chinese Yuan Renminbi,CNY,0.1545,6.4987,CHINA
Colombian Peso,COP,0.0003621,2839.72,COLOMBIA
